
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-07-13 05:12:47 /api/v1/public/dates/orders/DAT-202607-000001/manual-payment-proofs ................ ~ 514.00ms
  2026-07-13 05:12:48 /api/v1/payments/manual-proofs ..................................................... ~ 516.21ms
  2026-07-13 05:12:48 /api/v1/payments/manual-proofs/1/approve ............................................. ~ 0.83ms
  2026-07-13 05:12:48 /api/v1/payments/manual-proofs/1/approve ........................................... ~ 509.61ms
  2026-07-13 05:12:49 /api/v1/inventory/summary .......................................................... ~ 511.47ms
  2026-07-13 05:12:49 /api/v1/inventory/warehouses ......................................................... ~ 1.28ms
  2026-07-13 05:12:49 /api/v1/inventory/stock-items ...................................................... ~ 505.98ms
  2026-07-13 05:12:50 /api/v1/inventory/stock-items/receive .............................................. ~ 516.27ms
  2026-07-13 05:12:50 /api/v1/inventory/stock-items/adjust ................................................. ~ 0.99ms
  2026-07-13 05:12:50 /api/v1/commerce/orders/1/cancel ................................................... ~ 510.27ms
  2026-07-13 05:12:51 /api/v1/auth/login ................................................................. ~ 513.84ms
  2026-07-13 05:12:52 /api/v1/public/oils/wholesale/products ............................................. ~ 514.82ms
  2026-07-13 05:12:52 /api/v1/public/oils/wholesale/access ............................................... ~ 513.66ms
  2026-07-13 05:12:52 /api/v1/public/oils/wholesale/products ................................................... ~ 1s
  2026-07-13 05:12:53 /api/v1/public/oils/cart ............................................................. ~ 0.80ms
  2026-07-13 05:12:53 /api/v1/public/oils/cart/5819f455-1f66-4f0a-a330-147c1041aa0b/items ...................... ~ 1s
  2026-07-13 05:12:54 /api/v1/public/oils/cart/5819f455-1f66-4f0a-a330-147c1041aa0b/items ................ ~ 510.53ms
  2026-07-13 05:12:55 /api/v1/public/oils/checkout ......................................................... ~ 0.94ms
  2026-07-13 05:12:55 /api/v1/public/oils/wholesale/apply ................................................ ~ 505.89ms
  2026-07-13 05:12:55 /api/v1/wholesale/applications ..................................................... ~ 513.10ms
  2026-07-13 05:12:56 /api/v1/public/real-estate/real-estate/projects ...................................... ~ 0.85ms
  2026-07-13 05:12:56 /api/v1/public/real-estate/real-estate/units ....................................... ~ 509.57ms
  2026-07-13 05:12:57 /api/v1/public/real-estate/real-estate/leads ....................................... ~ 509.83ms
  2026-07-13 05:12:57 /api/v1/public/real-estate/real-estate/viewing-requests .............................. ~ 2.45ms
  2026-07-13 05:12:57 /api/v1/public/real-estate/real-estate/reservation-interests ....................... ~ 506.63ms
  2026-07-13 05:12:58 /api/v1/public/real-estate/real-estate/reservation-interests ....................... ~ 511.64ms
  2026-07-13 05:12:58 /api/v1/real-estate/leads ............................................................ ~ 0.74ms
  2026-07-13 05:12:58 /api/v1/public/import-export/services .............................................. ~ 506.22ms
  2026-07-13 05:12:59 /api/v1/public/import-export/rfq-requests .......................................... ~ 511.64ms
  2026-07-13 05:12:59 /api/v1/public/import-export/rfq-requests/RFQ-IMP-20260713021259-979/status .......... ~ 0.77ms
  2026-07-13 05:12:59 /api/v1/public/import-export/rfq-requests/RFQ-IMP-20260713021259-979/status ........ ~ 509.99ms
  2026-07-13 05:12:59 /api/v1/auth/login ................................................................. ~ 512.43ms
  2026-07-13 05:13:00 /api/v1/services-rfq/rfq-requests .................................................. ~ 512.83ms
  2026-07-13 05:13:00 /api/v1/services-rfq/rfq-requests/1/quotations ....................................... ~ 0.71ms
  2026-07-13 05:13:01 /api/v1/services-rfq/quotations/1/send ............................................. ~ 511.09ms
  2026-07-13 05:13:01 /api/v1/reports/executive-summary .................................................... ~ 0.70ms
  2026-07-13 05:13:01 /api/v1/reports/commerce/orders/export ............................................. ~ 510.65ms
  2026-07-13 05:13:02 /api/v1/audit-logs ................................................................. ~ 514.59ms
  2026-07-13 05:13:02 /api/v1/inventory/summary ............................................................ ~ 0.73ms
  2026-07-13 05:13:02 /api/v1/wholesale/applications ..................................................... ~ 514.38ms
  2026-07-13 05:13:02 /api/v1/services-rfq/rfq-requests .................................................... ~ 0.77ms
  2026-07-13 05:13:03 /api/v1/auth/logout ................................................................ ~ 511.17ms
  2026-07-13 05:13:03 /api/v1/auth/login ................................................................. ~ 514.97ms
  2026-07-13 05:13:23 /api/v1/auth/login ................................................................... ~ 1.36ms
  2026-07-13 05:13:24 /api/v1/auth/login ................................................................. ~ 515.02ms
  2026-07-13 05:15:15 /api/v1/health ..................................................................... ~ 505.63ms
  2026-07-13 05:15:18 /api/v1/public/cms/menus/main ........................................................ ~ 0.89ms
  2026-07-13 05:15:18 /api/v1/public/cms/pages/home ...................................................... ~ 520.57ms
  2026-07-13 05:16:14 /api/v1/health ....................................................................... ~ 0.82ms
  2026-07-13 05:16:17 /api/v1/public/cms/menus/main ...................................................... ~ 506.17ms
  2026-07-13 05:16:17 /api/v1/public/cms/pages/home ............................................................ ~ 1s
  2026-07-13 05:17:54 /api/v1/public/cms/menus/main ...................................................... ~ 505.55ms
  2026-07-13 05:17:54 /api/v1/public/cms/pages/home ...................................................... ~ 510.67ms
  2026-07-13 05:18:01 /api/v1/public/business-units ...................................................... ~ 507.69ms
  2026-07-13 05:18:01 /api/v1/public/cms/pages/business-units .................................................. ~ 1s
  2026-07-13 05:18:10 /api/v1/public/business-units/oils ................................................. ~ 515.68ms
  2026-07-13 05:18:10 /api/v1/public/cms/business-units/oils/page .......................................... ~ 0.80ms
  2026-07-13 05:18:11 /api/v1/public/oils/products ....................................................... ~ 509.21ms
  2026-07-13 05:18:11 /api/v1/public/oils/collections .................................................... ~ 512.13ms
  2026-07-13 05:18:18 /api/v1/public/business-units/real-estate ............................................ ~ 1.00ms
  2026-07-13 05:18:19 /api/v1/public/cms/business-units/real-estate/page ................................. ~ 506.53ms
  2026-07-13 05:18:22 /api/v1/public/business-units/dates ................................................ ~ 502.62ms
  2026-07-13 05:18:23 /api/v1/public/cms/business-units/dates/page ....................................... ~ 506.55ms
  2026-07-13 05:18:23 /api/v1/public/dates/products ........................................................ ~ 0.74ms
  2026-07-13 05:18:23 /api/v1/public/dates/collections ................................................... ~ 504.99ms
  2026-07-13 05:18:27 /api/v1/public/dates/corporate-gift-products ......................................... ~ 0.86ms
  2026-07-13 05:18:34 /api/v1/public/dates/products/premium-medjool-gift-box ............................... ~ 0.90ms
  2026-07-13 05:18:34 /api/v1/public/dates/products/premium-medjool-gift-box/availability ................ ~ 510.31ms
  2026-07-13 05:18:45 /api/v1/public/business-units/dates ................................................ ~ 507.24ms
  2026-07-13 05:18:46 /api/v1/public/cms/business-units/dates/page ....................................... ~ 512.92ms
  2026-07-13 05:18:46 /api/v1/public/dates/products ........................................................ ~ 0.73ms
